Candidate,Party,EVM Votes,Postal Votes,Total Votes,percent of Votes,Constituency ID
BINITA DEKA,Gana Suraksha Party,93266,923,94189,7.59,S031
PRITHVIRAJ NARAYAN DEV MECH,Independent,33636,101,33737,2.72,S031
GAURI SANKAR SARANIA,All India Trinamool Congress,23362,157,23519,1.89,S031
RANJAY KR BRAHMA,Independent,8782,48,8830,0.71,S031
LALIT PEGU,Voters Party  International,7891,41,7932,0.64,S031
JYOTISH KUMAR DAS,Independent,5944,162,6106,0.49,S031
PANKAJ ISLARY,Independent,4473,35,4508,0.36,S031
TRIPTINA RABHA,Independent,4425,115,4540,0.37,S031
AJOY NARZARY,Independent,4032,48,4080,0.33,S031
NOTA,None of the Above,13662,250,13912,1.12,S031
BANDI SANJAY KUMAR,Bharatiya Janata Party,578827,6289,585116,44.57,S293
VELCHALA RAJENDER RAO,Indian National Congress,357446,2461,359907,27.41,S293
VINOD KUMAR BOIANAPALLI,Bharat Rashtra Samithi,280867,1296,282163,21.49,S293
ABBADI BUCHI REDDY,Independent,11602,10,11612,0.88,S293
ARUNA THALLAPALLY,Alliance of Democratic Reforms Party,9043,21,9064,0.69,S293
KOTA SHYAM KUMAR,Independent,8744,12,8756,0.67,S293
ANOSE KATKOORI,Independent,8699,7,8706,0.66,S293
MAREPALLI MOGILAIAH,Bahujan Samaj Party,8010,99,8109,0.62,S293
RAJENDER POTHURI,Independent,3250,7,3257,0.25,S293
SRAVAN PEDDAPELLY,Bharathiya YuvaKula Dalam,3068,6,3074,0.23,S293
GADDA SATHISH,Independent,2936,9,2945,0.22,S293
ANILREDDY KADTHALA,National Nava Kranthi Party,2747,7,2754,0.21,S293
CHILUVERU SRIKANTH,Dharma Samaj Party,2553,33,2586,0.2,S293
AKSHAY KUMAR MEKALA,Independent,2219,5,2224,0.17,S293
JOURNALIST VIKRAM REDDY VEMULAA,Independent,2090,6,2096,0.16,S293
ASHOK PANCHIKA,Social Justice Party of India,1914,10,1924,0.15,S293
GAVVALA LAXMI,Independent,1738,6,1744,0.13,S293
GATTAIAH YADAV BARIGE,Independent,1688,6,1694,0.13,S293
RANAPRATAP GATTU,Socialist Party (India),1606,7,1613,0.12,S293
GUDISHE  MOHAN,Independent,1471,3,1474,0.11,S293
MANASA PERALA,Independent,1106,19,1125,0.09,S293
PODISHETTI SAMMAIAH,Bahujan Mukti Party,994,0,994,0.08,S293
VENKATANARSAIAH DYAGALA DEGALA,Independent,926,2,928,0.07,S293
SHIVARATRI SRINIVAS,Independent,887,2,889,0.07,S293
CHINTHA ANILKUMAR,Pyramid Party of India,823,7,830,0.06,S293
CHEEKOTI VARUN KUMAR GUPTA,Telugu Congress Party,783,7,790,0.06,S293
RAPOLE RAMKUMAR BHARADWAJ,Independent,572,3,575,0.04,S293
DEVUNOORI SRINIVASU,Independent,465,0,465,0.04,S293
NOTA,None of the Above,5373,65,5438,0.41,S293
NITYANAND RAI,Bharatiya Janata Party,515159,806,515965,49.51,S0422
ALOK KUMAR MEHTA,Rashtriya Janata Dal,454870,993,455863,43.75,S0422
SANJAY PASWAN,Independent,16961,2,16963,1.63,S0422
MOHAN KUMAR MAURYA,Bahujan Samaj Party,7081,20,7101,0.68,S0422
RAKESH KUMAR,Independent,5953,4,5957,0.57,S0422
SANTHOSH RAI,Rashtriya Jansambhavna Party,4423,3,4426,0.42,S0422
NARENDRA GIRI,Independent,3150,1,3151,0.3,S0422
KISHOR KUMAR,Independent,2209,0,2209,0.21,S0422
AMARESH RAY,Independent,2140,3,2143,0.21,S0422
ANSHU KUMAR,Subhashwadi Bhartiya Samajwadi Party (Subhas Party),1749,7,1756,0.17,S0422
RAMPUKAR RAY,Socialist Unity Centre Of India (communist),1299,7,1306,0.13,S0422
NIKKI JHA,Jagrook Janta Party,1006,14,1020,0.1,S0422
MANOJ KUMAR,Janta Raj Vikas Party,937,2,939,0.09,S0422
NOTA,None of the Above,23246,23,23269,2.23,S0422
H.D. KUMARASWAMY,Janata Dal  (Secular),847482,4399,851881,58.34,S1020
