Candidate,Party,EVM Votes,Postal Votes,Total Votes,percent of Votes,Constituency ID
KARAN BALASAHEB PATIL - PAWAR,Shiv Sena (Uddhav Balasaheb Thackrey),421213,1621,422834,36.15,S133
YUVRAJ JADHAV (SAMBHA AAPPA),Vanchit Bahujan  Aaghadi,21062,115,21177,1.81,S133
EX-HAVILDAR ISHWAR DAYARAM MORE,Sainik Samaj Party,7479,69,7548,0.65,S133
VILAS SHANKAR TAYADE,Bahujan Samaj Party,6310,71,6381,0.55,S133
LALIT (BANTI) SHARMA,Independent,4189,3,4192,0.36,S133
KARAN PAWAR,Independent,3954,29,3983,0.34,S133
ADV VIJAY BABULAL DANEJ,Independent,3400,4,3404,0.29,S133
MUKESH MULCHAND KOLI,Independent,3358,12,3370,0.29,S133
MAHENDRA DEVRAM KOLI,Independent,2462,14,2476,0.21,S133
AHMAD KHAN,Independent,1889,12,1901,0.16,S133
ABDUL SHAKUR DESHPANDE,Independent,1593,13,1606,0.14,S133
ADV. NAMDEO PANDURANG KOLI,Independent,1212,12,1224,0.1,S133
PATIL SANDIP YUVRAJ,Independent,1098,12,1110,0.09,S133
NOTA,None of the Above,13878,41,13919,1.19,S133
T.SUMATHY (ALIAS) THAMIZHACHI THANGAPANDIAN,Dravida Munnetra Kazhagam,515307,1321,516628,47,S223
DR.TAMILISAI SOUNDARARAJAN,Bharatiya Janata Party,289229,1454,290683,26.44,S223
DR.J.JAYAVARDHAN,All India Anna Dravida Munnetra Kazhagam,172108,383,172491,15.69,S223
S.TAMILCHELVI,Naam Tamilar Katchi,83821,151,83972,7.64,S223
M.G.RAMU,Jebamani Janata,3526,8,3534,0.32,S223
M.AZARUTHEEN,Independent,1808,4,1812,0.16,S223
G.P. ROBERT,Bahujan Samaj Party,1596,3,1599,0.15,S223
R.RAVICHANDRAN,Independent,835,0,835,0.08,S223
S.MANIMARAN,Independent,803,0,803,0.07,S223
FARMER JAYARAMAN. S.K.J,Desiya Makkal Sakthi Katchi,790,2,792,0.07,S223
A.K.D. ELLAPPAN,Mahathma Makkal Munnetra Kazhakam,761,0,761,0.07,S223
K.KANNAN,Independent,625,0,625,0.06,S223
BALAJI. G. MANGADU,Aravor Munnetra Kazhagam,588,1,589,0.05,S223
KUTTIMANI. S,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,565,0,565,0.05,S223
R.KANCHANA,Tamizhaga Murpokku Makkal Katchi,565,1,566,0.05,S223
SASI REKHA,Naadaalum Makkal Katchi,557,2,559,0.05,S223
P. SATHEESH KUMAR,Independent,520,1,521,0.05,S223
P.SEKAR,Thakkam Katchi,435,0,435,0.04,S223
R.YOGESHWARAN,Independent,425,1,426,0.04,S223
J. SATHISH,Independent,418,0,418,0.04,S223
V.P. RAVIKKARAN,Independent,372,1,373,0.03,S223
A.PONNUDURAI,Independent,362,0,362,0.03,S223
N.V.DAMODARAN,National Maha Sabha Party,341,2,343,0.03,S223
M.MUNUSWAMY,Viro Ke Vir Indian Party,326,4,330,0.03,S223
KARTHIK MURTHY,Independent,312,3,315,0.03,S223
V.P.SURESH,Independent,288,1,289,0.03,S223
E.RAMESH,Independent,270,0,270,0.02,S223
R.BALAJI,Independent,264,0,264,0.02,S223
DINESH KUMAR. B,Independent,253,0,253,0.02,S223
A.BABU,Independent,246,0,246,0.02,S223
DAYALAN. R,Independent,241,1,242,0.02,S223
VIJIRATHINAM. M,Independent,237,0,237,0.02,S223
V.SIVAKUMAR,Independent,217,0,217,0.02,S223
MURUGAN. P,Independent,182,0,182,0.02,S223
G.RAMESHBABU,Independent,178,1,179,0.02,S223
S.RAJASEKARAN,Independent,177,1,178,0.02,S223
N.NARAYANASWAMY,Independent,175,0,175,0.02,S223
R.DEVENDRAN,Independent,167,1,168,0.02,S223
PARTHIBAN. S,Independent,165,1,166,0.02,S223
I. DAVIDSINGH,Independent,150,1,151,0.01,S223
E RAVENDRAN,Independent,114,0,114,0.01,S223
NOTA,None of the Above,15607,46,15653,1.42,S223
YADUVEER KRISHNADATTA CHAMARAJA WADIYAR,Bharatiya Janata Party,790391,5112,795503,53.59,S1021
M. LAKSHMANA,Indian National Congress,653739,2502,656241,44.21,S1021
RANGASWAMY. M,Independent,4301,5,4306,0.29,S1021
KADAMBA NAA AMBARISH,Karnataka Jantha Paksha,4069,11,4080,0.27,S1021
A. S. SATHISH,Independent,3736,10,3746,0.25,S1021
RAMAMURTHY. M,Independent,3601,4,3605,0.24,S1021
RAJU,Independent,1940,9,1949,0.13,S1021
PRAJAKEEYA LEELA SHIVAKUMAR,Uttama Prajaakeeya Party,1724,30,1754,0.12,S1021
COMRADE SUNIL T. R,Socialist Unity Centre Of India (communist),1538,22,1560,0.11,S1021
H. K. KRISHNA,Karunaadu Party,1479,10,1489,0.1,S1021
HARISH GOWDA,Socialist Party (India),967,9,976,0.07,S1021
P. S. YADURAPPA,Independent,874,4,878,0.06,S1021
AMBEDKAR. C. J,Independent,821,14,835,0.06,S1021
DARSHAN K PONNETI,Independent,761,3,764,0.05,S1021
M. S. PRAVEEN,Karnataka Rashtra Samithi,735,5,740,0.05,S1021
CHRISTOPHER RAJ KUMAR,Independent,533,11,544,0.04,S1021
DR. H. M. NANJUNDASWAMY,Samajwadi Janata Party(Karnataka),519,4,523,0.04,S1021
A. G. RAMACHANDRA RAO,Secular Democratic Congress,487,3,490,0.03,S1021
NOTA,None of the Above,4446,44,4490,0.3,S1021
MURLIDHAR MOHOL,Bharatiya Janata Party,584171,557,584728,52.94,S1334
DHANGEKAR RAVINDRA HEMRAJ,Indian National Congress,461409,281,461690,41.8,S1334
VASANT (TATYA) MORE,Vanchit Bahujan  Aaghadi,31991,21,32012,2.9,S1334
RANPISE PRASHANT DADARAM,Bahujan Samaj Party,3969,5,3974,0.36,S1334
CHORMALE SANDIP SOPAN,Independent,1644,1,1645,0.15,S1334
GORAKH NARAYAN GHODKE,Independent,1451,0,1451,0.13,S1334
KIRAN LAXMAN RAYKAR,Independent,1052,0,1052,0.1,S1334
ANIS ARASHID SUNDAKE,All India Majlis-E-Ittehadul Muslimeen,859,1,860,0.08,S1334
SACHIN DATTATRAY DHANKUDE,Independent,788,1,789,0.07,S1334
YUVRAJ CHANDRAKANT  LIMBOLE,Right to Recall Party,698,0,698,0.06,S1334
DR. DEVYANI PANDIT,Independent,645,5,650,0.06,S1334
NARENDRA DNYANESHWAR PAWTEKAR,Independent,533,1,534,0.05,S1334
SAGAR SAMBHAJI PORE,Independent,515,0,515,0.05,S1334
SURESH DNYANOBA PATIL,Sainik Samaj Party,437,0,437,0.04,S1334
AMBORE MANJUNATH MARUTI,Independent,433,0,433,0.04,S1334
ASHWINI PRATIBHA KHAIRNAR,Independent,412,3,415,0.04,S1334
VIJAY VINAYAK JAGTAP,Independent,382,0,382,0.03,S1334
HEMANT BABURAV KOLEKAR ALIAS HEMANT PATIL,Apni Prajahit Party,374,1,375,0.03,S1334
NEERAJ SUNIL KAMTHAN,Hindu Samaj Party,351,0,351,0.03,S1334
MANOJ LAXMAN VETAL,Bhim Sena,351,1,352,0.03,S1334
KAMBLE MILIND,Bahujan Samaj Party  (Ambedkar),344,3,347,0.03,S1334
CHANDRAKANT PARMESHWAR SAWANT,Independent,314,0,314,0.03,S1334
SHABBIR SAJJANBHAI TAMBOLI,Independent,313,0,313,0.03,S1334
SANJAY LAXMAN KENDALE,Independent,311,0,311,0.03,S1334
JOHNSON VASANT KOLHAPURE,Independent,304,1,305,0.03,S1334
ADV. YOGESH MAKANE,Independent,298,1,299,0.03,S1334
SUBROTO ROY,Ekam Sanatan Bharat Dal,293,1,294,0.03,S1334
DR. BALASAHEB ARJUN POL,Independent,259,0,259,0.02,S1334
VIJAYALAXMI SHRIKANT SINDAGI,Rashtriya Maratha Party,239,1,240,0.02,S1334
MAHESH DASHRATH MHASKE,Independent,229,2,231,0.02,S1334
YABES ALIAS AMOL SHAMUVEL TUJARE,Independent,223,0,223,0.02,S1334
VIJAY PANDURANGRAO DESHMUKH (DABADGAONKAR),Independent,183,2,185,0.02,S1334
BABA SALIM SAYYED,Independent,163,1,164,0.01,S1334
BAGBAN SALEEM ABDUL RAZZAQUE,Independent,146,0,146,0.01,S1334
ZNYOSHO VIJAYPRAKASH,Independent,138,0,138,0.01,S1334
NOTA,None of the Above,7449,11,7460,0.68,S1334
SUKANTA MAJUMDAR,Bharatiya Janata Party,572925,2071,574996,46.47,S256
BIPLAB MITRA,All India Trinamool Congress,563252,1358,564610,45.63,S256
JOYDEV KUMAR SIDDHANTA,Revolutionary Socialist Party,54081,136,54217,4.38,S256
HAKIM MURMU,Independent,6820,2,6822,0.55,S256
BAKHTIAR MUJAHIT SAHANI,Independent,6391,2,6393,0.52,S256
RANENDRA NATH MALI,Independent,5590,3,5593,0.45,S256
ANTA HANSDA,Bahujan Samaj Party,5130,15,5145,0.42,S256
BISWANATH MURMU,Ambedkarite Party of India,3454,11,3465,0.28,S256
MOZAMMEL HAQUE,All India Secular Front,2261,7,2268,0.18,S256
NAROTTAM SAHA,Independent,2095,11,2106,0.17,S256
MD. SARWARDI,Bhumiputra United Party,1957,10,1967,0.16,S256
BIRENDRA NATH MAHANTA,Socialist Unity Centre Of India (communist),1380,7,1387,0.11,S256
RUBEL SARKAR,Kamatapur People's Party (United),898,4,902,0.07,S256
NOTA,None of the Above,7430,7,7437,0.6,S256
BHARAT SINGH KUSHWAH,Bharatiya Janata Party,668782,2753,671535,49.99,S123
PRAVEEN PATHAK,Indian National Congress,599077,2248,601325,44.77,S123
KALYAN SINGH KANSANA,Bahujan Samaj Party,33308,157,33465,2.49,S123
ARCHANA SINGH RATHORE,Rashtriya Samaj Paksha,5873,19,5892,0.44,S123
BHARAT PAL,Aazad Samaj Party (Kanshi Ram),4138,25,4163,0.31,S123
ER. MAHENDRA PRATAP SINGH PAL,Independent,3777,6,3783,0.28,S123
RAKESH DHAKAD,Independent,3218,2,3220,0.24,S123
YASHDEV SHARMA,Independent,2568,3,2571,0.19,S123
DEEPAK KUMAR BANSAL (RANG WALE),Independent,2448,0,2448,0.18,S123
SHREE NARESH CHANDRA SHARMA,Independent,2215,1,2216,0.16,S123
GAJENDRA SINGH,Independent,1343,5,1348,0.1,S123
ANJALI MONU RAWAT,Parivartan Party of India,1272,7,1279,0.1,S123
ADV MUKESH KUMAR KORI,Independent,1130,4,1134,0.08,S123
RAM PRAKASH SINGH PAL,Rashtra Uday Party,1059,12,1071,0.08,S123
CHANDAN RATHORE,Parivartan Samaj Party,1053,6,1059,0.08,S123
DR. P. D. AGARWAL SR. MEDICAL CONSULTANT,Independent,1016,5,1021,0.08,S123
AMIT PARIHAR,Independent,877,6,883,0.07,S123
COMRADE RACHNA AGRAWAL,Socialist Unity Centre Of India (communist),798,5,803,0.06,S123
MUNESH NAGAR,Vikas India Party,667,5,672,0.05,S123
NOTA,None of the Above,3309,32,3341,0.25,S123
MUKESH RAJPUT,Bharatiya Janata Party,486925,1038,487963,47.2,S2440
DR. NAVAL KISHOR SHAKYA,Samajwadi Party,484485,800,485285,46.94,S2440
KRANTI PANDEY,Bahujan Samaj Party,45274,116,45390,4.39,S2440
AMAR SINGH,Bharatiya Rashtriya Morcha,3345,13,3358,0.32,S2440
HARNANDAN SINGH,Independent,2457,12,2469,0.24,S2440
SHYAMVEER SINGH,Bharatiya Nagrik Party,2431,3,2434,0.24,S2440
VIDYAPRAKASH,Bharatheeya Jawan Kisan Party,1456,11,1467,0.14,S2440
DINESH,Bhartiya Shakti Chetna Party,1061,2,1063,0.1,S2440
NOTA,None of the Above,4350,15,4365,0.42,S2440
JASWANTSINH SUMANBHAI BHABHOR,Bharatiya Janata Party,685734,2981,688715,61.59,S0619
DR. PRABHABEN KISHORSINH TAVIYAD,Indian National Congress,352238,2800,355038,31.75,S0619
MEDA DEVENDRAKUMAR LAXMANBHAI,Independent,11068,7,11075,0.99,S0619
BHABHOR DHULABHAI DITABHAI,Bahujan Samaj Party,8621,11,8632,0.77,S0619
BARIYA MANILAL HIRABHAI,Independent,6576,12,6588,0.59,S0619
DAMOR VESTABHAI JOKHANABHAI,Independent,4374,26,4400,0.39,S0619
DAMOR MANABHAI BHAVSINGBHAI,Independent,3144,29,3173,0.28,S0619
JAGDISHBHAI MANILAL MEDA,Bharatiya National Janata Dal,3053,9,3062,0.27,S0619
PASAYA NAVALSINH MULABHAI,Saath Sahakar Vikas Party,2667,6,2673,0.24,S0619
NOTA,None of the Above,34774,164,34938,3.12,S0619
RAHUL GANDHI,Indian National Congress,686044,1605,687649,66.17,S2436
DINESH PRATAP SINGH,Bharatiya Janata Party,296703,916,297619,28.64,S2436
THAKUR PRASAD YADAV,Bahujan Samaj Party,21588,36,21624,2.08,S2436
DILEEP SINGH,Akhil Bhartiya Apna Dal,8676,2,8678,0.84,S2436
HORILAL,Independent,5397,2,5399,0.52,S2436
SUDARSHAN RAM,Bhartiya Panchsheel Party,4343,2,4345,0.42,S2436
HIND ROHITASH,Manavtawadi Samaj Party,3859,0,3859,0.37,S2436
MO MOBIN,Apna Dal (Kamerawadi),2173,1,2174,0.21,S2436
NOTA,None of the Above,7861,11,7872,0.76,S2436
PANKAJ CHAUDHARY,Bharatiya Janata Party,590487,823,591310,48.85,S2463
VIRENDRA CHAUDHARY,Indian National Congress,555045,814,555859,45.92,S2463
MO MAUSME ALAM,Bahujan Samaj Party,32893,62,32955,2.72,S2463
BRIJESH,Abhay Samaj Party,8575,8,8583,0.71,S2463
CHHEDI MAJDOOR,Independent,3833,1,3834,0.32,S2463
RAMPRIT,Independent,3028,1,3029,0.25,S2463
SUNIL,Independent,2716,2,2718,0.22,S2463
VINOD KUMAR PATEL,Sardar Patel Siddhant Party,2415,3,2418,0.2,S2463
NOTA,None of the Above,9730,15,9745,0.81,S2463
ALOK SHARMA,Bharatiya Janata Party,978285,2824,981109,65.48,S1219
ADV ARUN SHRIVASTAVA,Indian National Congress,478698,912,479610,32.01,S1219
BHANU PRATAP SINGH,Bahujan Samaj Party,13255,50,13305,0.89,S1219
DEENDAYAL AHIRWAR URF DEENU BHAIYA,Independent,3639,2,3641,0.24,S1219
JAY SINGH,Independent,2509,1,2510,0.17,S1219
BHARTI YADAV,Independent,1833,6,1839,0.12,S1219
ANKIT RAI,Independent,1100,1,1101,0.07,S1219
DHANRAJ SHENDE,Republican Party of India (A),788,2,790,0.05,S1219
AJAY KUMAR PATHAK,Chhatrapati Shivaji Bhartiya Garib Party,787,3,790,0.05,S1219
MOHAMMAD ASHRAF,Independent,777,1,778,0.05,S1219
BABULAL SEN,Moulik Adhikar Party,718,2,720,0.05,S1219
SANJAY KUMAR SAROJ,Manav Samadhan Party,621,1,622,0.04,S1219
BALRAM SINGH TAUMAR,Bhartiya Shakti Chetna Party,587,1,588,0.04,S1219
RAMPRASAD PATEL,Kranti Janshakti Party,572,3,575,0.04,S1219
MUDIT CHAURASIA,Akhil Bhartiya Aarakshit Samaj Party,541,3,544,0.04,S1219
MUDIT BHATNAGAR,Socialist Unity Centre Of India (communist),537,3,540,0.04,S1219
R.K. MAHAJAN,Independent,527,2,529,0.04,S1219
ABDUL TAHIR ADV (BABLU RAJNIKANT)  S/O SAEED PAHELWAN ANSARI,Bahujan Maha Party,473,0,473,0.03,S1219
MAITHILI SHARAN GUPTA,Independent,447,1,448,0.03,S1219
RAJESH KEER,Independent,427,0,427,0.03,S1219
AKSHAY GOTHI,Parivartan Party of India,403,4,407,0.03,S1219
HITENDRA SHAHARE (BABA),Independent,318,0,318,0.02,S1219
NOTA,None of the Above,6573,48,6621,0.44,S1219
DEEPENDER SINGH HOODA,Indian National Congress,778259,5319,783578,62.76,S077
DR. ARVIND KUMAR SHARMA,Bharatiya Janata Party,435028,3252,438280,35.11,S077
RAVINDER,Jannayak Janta Party,6209,41,6250,0.5,S077
RAKESH SINGH,Rashtrawadi Janlok Party (Satya),2706,8,2714,0.22,S077
BISHAMBAR KUMAR,Independent,2394,0,2394,0.19,S077
KALAWATI,Independent,2135,15,2150,0.17,S077
PARVEEN KUMAR,Independent,1927,1,1928,0.15,S077
UDEVIR,Independent,1530,2,1532,0.12,S077
VINOD KUMAR,Peoples Party of India (Democratic),805,4,809,0.06,S077
ASHOK KUMAR,Independent,627,2,629,0.05,S077
VISHESH BAMEL,Bharatiya Asha Party,613,5,618,0.05,S077
JAIKARAN MANDAUTHI,Socialist Unity Centre Of India (communist),600,7,607,0.05,S077
JAGBIR SINGH,Bharatheeya Jawan Kisan Party,574,19,593,0.05,S077
SATISH KUMAR,Independent,524,0,524,0.04,S077
SURENDER,Aam Aadmi Parivartan Party,447,23,470,0.04,S077
MANISHA,Independent,410,21,431,0.03,S077
ARVIND KUMAR SHARMA,Independent,360,7,367,0.03,S077
SATISH KUMAR,Ekam Sanatan Bharat Dal,359,4,363,0.03,S077
ARVIND,Independent,330,0,330,0.03,S077
ADV ADITYA DHANKHAR,Super Power India Party,275,12,287,0.02,S077
MASTER RANDHIR SINGH,Independent,267,2,269,0.02,S077
MANJEET,Independent,267,2,269,0.02,S077
SANJAY,Independent,210,2,212,0.02,S077
YOGESH SHARMA,Independent,190,0,190,0.02,S077
VINAY,Independent,156,3,159,0.01,S077
LALIT KUMAR,Independent,129,2,131,0.01,S077
NOTA,None of the Above,2321,41,2362,0.19,S077
AMAR SINGH,Indian National Congress,331324,1267,332591,34.14,S198
GURPREET SINGH GP,Aam Aadmi Party,297439,950,298389,30.63,S198
GEJJA RAM,Bharatiya Janata Party,127139,382,127521,13.09,S198
BIKRAMJIT SINGH KHALSA,Shiromani Akali Dal,126461,269,126730,13.01,S198
RAJ JATINDER SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),43543,101,43644,4.48,S198
KULWANT SINGH,Bahujan Samaj Party,20786,106,20892,2.14,S198
PREM SINGH MOHANPUR,Independent,3784,8,3792,0.39,S198
BAHAL SINGH,Aazad Samaj Party (Kanshi Ram),3097,7,3104,0.32,S198
PARAMJIT SINGH,Independent,2159,8,2167,0.22,S198
RULDA SINGH,Independent,1971,6,1977,0.2,S198
PARKASH PETER,Independent,1463,2,1465,0.15,S198
HARJINDER SINGH,Independent,1158,8,1166,0.12,S198
KAMALJEET KAUR,Independent,888,11,899,0.09,S198
HARGOBIND SINGH,Independent,722,9,731,0.08,S198
NOTA,None of the Above,9097,91,9188,0.94,S198
DIMPLE YADAV,Samajwadi Party,596710,1816,598526,56.79,S2421
JAYVEER SINGH,Bharatiya Janata Party,375895,992,376887,35.76,S2421
SHIV PRASAD YADAV,Bahujan Samaj Party,66697,117,66814,6.34,S2421
SURESH CHANDRA,Independent,2366,8,2374,0.23,S2421
NAND RAM BAGRI,Voters Party  International,1765,4,1769,0.17,S2421
MANJU PAL,Bhartiya Shakti Chetna Party,1148,23,1171,0.11,S2421
PRAMOD KUMAR,Independent,994,12,1006,0.1,S2421
SUNIL KUMAR MISHRA,Sarva Samaj Janata Party,878,4,882,0.08,S2421
NOTA,None of the Above,4570,12,4582,0.43,S2421
SELVAM. G,Dravida Munnetra Kazhagam,582978,3066,586044,46.53,S226
RAJASEKAR. E,All India Anna Dravida Munnetra Kazhagam,362991,1580,364571,28.94,S226
JOTHI. V,Pattali Makkal Katchi,163792,1139,164931,13.09,S226
SANTHOSH KUMAR. V,Naam Tamilar Katchi,109858,414,110272,8.75,S226
ILAYARAJA. S,Bahujan Samaj Party,5243,21,5264,0.42,S226
VENKATESAN. K,Independent,2798,9,2807,0.22,S226
NARESH BHARATHI. S,Independent,2499,12,2511,0.2,S226
ELANGOVAN. M,Independent,1874,7,1881,0.15,S226
SURYA. A,Independent,1673,29,1702,0.14,S226
RAMESH. S,Independent,1317,1,1318,0.1,S226
SELVAM. T,Independent,1295,17,1312,0.1,S226
NOTA,None of the Above,16811,154,16965,1.35,S226
BIDYUT BARAN MAHATO,Bharatiya Janata Party,719891,6283,726174,56.84,S279
SAMIR KUMAR MOHANTY,Jharkhand Mukti Morcha,459997,6395,466392,36.5,S279
INDRA DEO PRASAD,Independent,8463,6,8469,0.66,S279
ARUN MAHATO,Independent,7337,7,7344,0.57,S279
ANAND MUKHI,Independent,6346,6,6352,0.5,S279
PRANAV KUMAR MAHTO,Bahujan Samaj Party,6090,61,6151,0.48,S279
BISHWANATH MAHATO,Independent,5226,105,5331,0.42,S279
ANGAD MAHATO,Amra Bangalee,4898,27,4925,0.39,S279
JUJHAR SOREN,Independent,4262,53,4315,0.34,S279
SUKUMAR SOREN,Bharat Adivasi Party,3860,34,3894,0.3,S279
DHARMU TUDU,Ambedkarite Party of India,3274,17,3291,0.26,S279
JITENDRA SINGH,Independent,3159,8,3167,0.25,S279
SANAKA MAHATO,Socialist Unity Centre Of India (communist),3137,38,3175,0.25,S279
MANOJ GUPTA,Lokhit Adhikar Party,2355,7,2362,0.18,S279
SADHU CHARAN PAUL,Independent,2291,26,2317,0.18,S279
SAURAV VISHNU,Independent,2234,30,2264,0.18,S279
SHAIKH AKHIRUDDIN,Bahujan Maha Party,2099,9,2108,0.16,S279
ASHOK KUMAR,Peoples Party of India (Democratic),2038,10,2048,0.16,S279
MAHESH KUMAR,Right to Recall Party,1952,8,1960,0.15,S279
G JAYRAM DAS,Independent,1927,4,1931,0.15,S279
ARUN KUMAR SHARMA,Bhartiya Azad Sena,1797,4,1801,0.14,S279
DOMAN CHANDRA BHAKAT,Bhagidari Party(P),1343,5,1348,0.11,S279
BABLU PRASAD DANGI,Independent,1144,8,1152,0.09,S279
GYAN SAGAR PRASAD,Independent,1043,1,1044,0.08,S279
PARWATI KISKU,Independent,972,16,988,0.08,S279
NOTA,None of the Above,7105,221,7326,0.57,S279
PRAVEEN PATEL,Bharatiya Janata Party,451380,1220,452600,44.6,S2451
AMAR NATH SINGH MAURYA,Samajwadi Party,446596,1672,448268,44.17,S2451
JAGANNATH PAL,Bahujan Samaj Party,82375,211,82586,8.14,S2451
MAHIMA PATEL,Apna Dal (Kamerawadi),4134,28,4162,0.41,S2451
JILA JEET BHARTIY,Bahujan Awam Party,3294,5,3299,0.33,S2451
SUNIL KUMAR PRAJAPATI,Bhagidari Party(P),3040,7,3047,0.3,S2451
ENGG YOGESH KUSHWAHA,Pragatisheel Samaj Party,2768,3,2771,0.27,S2451
AKHILESH TRIPATHI,Independent,2295,3,2298,0.23,S2451
NAFIS AHAMAD,Independent,2145,2,2147,0.21,S2451
DR NEERAJ,Independent,1702,8,1710,0.17,S2451
SANJEEV KUMAR MISHRA,Yuva Vikas Party,1675,4,1679,0.17,S2451
MUSHIR AHMAD SIDDIQUI,Peoples Party of India (Democratic),1505,1,1506,0.15,S2451
SANGEETA YADAV,Subhashwadi Bhartiya Samajwadi Party (Subhas Party),1283,8,1291,0.13,S2451
LALA RAM SAROJ,Prabuddhwadi Bahujan Morcha,1043,9,1052,0.1,S2451
PRAMOD BHAI PATEL URF P K,Sardar Patel Siddhant Party,947,1,948,0.09,S2451
NOTA,None of the Above,5445,15,5460,0.54,S2451
IMRAN MASOOD,Indian National Congress,547383,584,547967,44.57,S241
RAGHAV LAKHANPAL,Bharatiya Janata Party,482120,1305,483425,39.32,S241
MAJID ALI,Bahujan Samaj Party,179994,359,180353,14.67,S241
MOHD INAM,Akhil Bhartiya Parivar Party,5392,8,5400,0.44,S241
SHABNAM,Independent,2370,3,2373,0.19,S241
SHAHBAJ,Independent,1696,2,1698,0.14,S241
RASHID KHAN,Independent,1227,3,1230,0.1,S241
TASMEEM BANO,Independent,883,2,885,0.07,S241
RAJKUMAR,Independent,807,6,813,0.07,S241
KAMRAN,Independent,744,1,745,0.06,S241
NOTA,None of the Above,4559,7,4566,0.37,S241
DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU,Indian National Congress,716635,1775,718410,57.88,S1313
MUNGANTIWAR SUDHIR SACCHIDANAND,Bharatiya Janata Party,456943,1061,458004,36.9,S1313
BELE RAJESH WARLUJI,Vanchit Bahujan  Aaghadi,21934,46,21980,1.77,S1313
RAJENDRA HARISHCHANDRA RAMTEKE,Bahujan Samaj Party,9145,43,9188,0.74,S1313
SANJAY NILKANTH GAWANDE,Independent,5087,1,5088,0.41,S1313
DIWAKAR HARIJI URADE,Independent,3221,3,3224,0.26,S1313
NAMDEO MANIKRAO SHEDMAKE,Gondvana Gantantra Party,2238,18,2256,0.18,S1313
SEWAKDAS KAWDUJI BARKE,Peoples Party of India (Democratic),1997,1,1998,0.16,S1313
AWACHIT SHAMRAO SAYAM,Janseva Gondwana Party,1886,20,1906,0.15,S1313
MILIND PRALHAD DAHIWALE,Independent,1759,2,1761,0.14,S1313
ASHOK RANAJI RATHOD,Jay Vidarbha Party,1660,10,1670,0.13,S1313
VIKAS UTTAMRAO LASANTE,Sanman Rajkiya Paksha,1518,2,1520,0.12,S1313
VIDYASAGAR KALIDAS KASARLAWAR,Bhim Sena,1426,0,1426,0.11,S1313
VANITA JITENDRA RAUT,Akhil Bharatiya Manavata Paksha,1054,3,1057,0.09,S1313
PURNIMA DILIP GHONMODE,Bahujan Republican  Socialist Party,967,6,973,0.08,S1313
NOTA,None of the Above,10821,22,10843,0.87,S1313
AMARSING TISSO,Bharatiya Janata Party,332440,2180,334620,49.01,S036
J. I. KATHAR,Independent,185864,1153,187017,27.39,S036
JOY RAM ENGLENG,Indian National Congress,123055,964,124019,18.16,S036
JOHN BARNARD SANGMA,Gana Suraksha Party,11241,38,11279,1.65,S036
JOTSON BEY,Autonomous State Demand Committee,9561,72,9633,1.41,S036
NOTA,None of the Above,16127,132,16259,2.38,S036
